category,title,description,rationale,impact,recommendation
Filesystem Permissions,1.1.4 Ensure nosuid option set on /tmp partition,The 'nosuid' mount option specifies that the filesystem cannot contain 'setuid' files.,"Since the '/tmp' filesystem is only intended for temporary file storage, set this option to ensure that users cannot create 'setuid' files in '/tmp' .",,"Edit '/etc/systemd/system/local-fs.target.wants/tmp.mount' to add 'nosuid' to the '/tmp' mount options:

[Mount]
Options=mode=1777,strictatime,noexec,nodev,nosuid

Run the following command to remount '/tmp' :

# mount -o remount,nosuid /tmp"
Filesystem Permissions,1.1.5 Ensure noexec option set on /tmp partition,The 'noexec' mount option specifies that the filesystem cannot contain executable binaries.,"Since the '/tmp' filesystem is only intended for temporary file storage, set this option to ensure that users cannot run executable binaries from '/tmp' .",,"Edit '/etc/systemd/system/local-fs.target.wants/tmp.mount' to add 'noexec' to the '/tmp' mount options:

[Mount]
Options=mode=1777,strictatime,noexec,nodev,nosuid

Run the following command to remount '/tmp' :

# mount -o remount,noexec /tmp"
Filesystem Permissions,1.1.6 Ensure separate partition exists for /var,The '/var' directory is used by daemons and other system services to temporarily store dynamic data. Some directories created by these processes may be world-writable.,"Since the '/var' directory may contain world-writable files and directories, there is a risk of resource exhaustion if it is not bound to a separate partition.","Resizing filesystems is a common activity in cloud-hosted servers. Separate filesystem partitions may prevent successful resizing, or may require the installation of additional tools solely for the purpose of resizing operations. The use of these additional tools may introduce their own security considerations.","For new installations, during installation create a custom partition setup and specify a separate partition for '/var' .

For systems that were previously installed, create a new partition and configure '/etc/fstab' as appropriate."
Filesystem Permissions,1.1.7 Ensure separate partition exists for /var/tmp,The '/var/tmp' directory is a world-writable directory used for temporary storage by all users and some applications.,"Since the '/var/tmp' directory is intended to be world-writable, there is a risk of resource exhaustion if it is not bound to a separate partition. In addition, making '/var/tmp' its own file system allows an administrator to set the 'noexec' option on the mount, making '/var/tmp' useless for an attacker to install executable code. It would also prevent an attacker from establishing a hardlink to a system 'setuid' program and wait for it to be updated. Once the program was updated, the hardlink would be broken and the attacker would have his own copy of the program. If the program happened to have a security vulnerability, the attacker could continue to exploit the known flaw.","Resizing filesystems is a common activity in cloud-hosted servers. Separate filesystem partitions may prevent successful resizing, or may require the installation of additional tools solely for the purpose of resizing operations. The use of these additional tools may introduce their own security considerations.","For new installations, during installation create a custom partition setup and specify a separate partition for '/var/tmp' .

For systems that were previously installed, create a new partition and configure '/etc/fstab' as appropriate."
Filesystem Permissions,1.1.11 Ensure separate partition exists for /var/log,The '/var/log' directory is used by system services to store log data .,There are two important reasons to ensure that system logs are stored on a separate partition: protection against resource exhaustion (since logs can grow quite large) and protection of audit data.,"Resizing filesystems is a common activity in cloud-hosted servers. Separate filesystem partitions may prevent successful resizing, or may require the installation of additional tools solely for the purpose of resizing operations. The use of these additional tools may introduce their own security considerations.","For new installations, during installation create a custom partition setup and specify a separate partition for '/var/log' .

For systems that were previously installed, create a new partition and configure '/etc/fstab' as appropriate."
Filesystem Permissions,1.1.12 Ensure separate partition exists for /var/log/audit,"The auditing daemon, 'auditd' , stores log data in the '/var/log/audit' directory.","There are two important reasons to ensure that data gathered by 'auditd' is stored on a separate partition: protection against resource exhaustion (since the 'audit.log' file can grow quite large) and protection of audit data. The audit daemon calculates how much free space is left and performs actions based on the results. If other processes (such as 'syslog' ) consume space in the same partition as 'auditd' , it may not perform as desired.","Resizing filesystems is a common activity in cloud-hosted servers. Separate filesystem partitions may prevent successful resizing, or may require the installation of additional tools solely for the purpose of resizing operations. The use of these additional tools may introduce their own security considerations.","For new installations, during installation create a custom partition setup and specify a separate partition for '/var/log/audit' .

For systems that were previously installed, create a new partition and configure '/etc/fstab' as appropriate."
Filesystem Permissions,1.1.13 Ensure separate partition exists for /home,The '/home' directory is used to support disk storage needs of local users.,"If the system is intended to support local users, create a separate partition for the '/home' directory to protect against resource exhaustion and restrict the type of files that can be stored under '/home' .","Resizing filesystems is a common activity in cloud-hosted servers. Separate filesystem partitions may prevent successful resizing, or may require the installation of additional tools solely for the purpose of resizing operations. The use of these additional tools may introduce their own security considerations.","For new installations, during installation create a custom partition setup and specify a separate partition for '/home' .

For systems that were previously installed, create a new partition and configure '/etc/fstab' as appropriate."
Filesystem Permissions,1.1.21 Ensure sticky bit is set on all world-writable directories,Setting the sticky bit on world writable directories prevents users from deleting or renaming files in that directory that are not owned by them.,This feature prevents the ability to delete or rename files in world writable directories (such as '/tmp' ) that are owned by another user.,,"Run the following command to set the sticky bit on all world writable directories:

# df --local -P | awk {'if (NR!=1) print $6'} | xargs -I '{}' find '{}' -xdev -type d -perm -0002 2>/dev/null | xargs chmod a+t"
Filesystem Permissions,1.1.22 Disable Automounting,"'autofs' allows automatic mounting of devices, typically including CD/DVDs and USB drives.",With automounting enabled anyone with physical access could attach a USB drive or disc and have its contents available in system even if they lacked permissions to mount it themselves.,The use portable hard drives is very common for workstation users. If your organization allows the use of portable storage or media on workstations and physical access controls to workstations is considered adequate there is little value add in turning off automounting.,"Run the following command to disable 'autofs' :

# systemctl disable autofs"
System Services,1.2.1 Ensure package manager repositories are configured,Systems need to have package manager repositories configured to ensure they receive the latest patches and updates.,"If a system's package repositories are misconfigured important patches may not be identified or a rogue repository could introduce compromised software.

NOTE: Nessus has provided the target output to assist in reviewing the benchmark to ensure target compliance.",,Configure your package manager repositories according to site policy.
System Services,1.2.2 Ensure gpgcheck is globally activated,"The 'gpgcheck' option, found in the main section of the '/etc/yum.conf' and individual '/etc/yum/repos.d/*' files determines if an RPM package's signature is checked prior to its installation.",It is important to ensure that an RPM's package signature is always checked prior to installation to ensure that the software is obtained from a trusted source.,,"Edit '/etc/yum.conf' and set ''gpgcheck=1'' in the '[main]' section.

Edit any failing files in '/etc/yum.repos.d/*' and set all instances of 'gpgcheck' to ''1''."
System Services,1.2.3 Ensure GPG keys are configured,Most packages managers implement GPG key signing to verify package integrity during installation.,"It is important to ensure that updates are obtained from a valid source to protect against spoofing that could lead to the inadvertent installation of malware on the system.

NOTE: Nessus has provided the target output to assist in reviewing the benchmark to ensure target compliance.",,Update your package manager GPG keys in accordance with site policy.
System Services,1.2.4 Ensure Red Hat Subscription Manager connection is configured,Systems need to be registered with the Red Hat Subscription Manager (RHSM) to receive patch updates. This is usually configured during initial installation.,"It is important to register with the Red Hat Subscription Manager to make sure that patches are updated on a regular basis. This helps to reduce the exposure time as new vulnerabilities are discovered.

NOTE: Nessus has provided the target output to assist in reviewing the benchmark to ensure target compliance.",,"Run the following command to connect to the Red Hat Subscription Manager:

# subscription-manager register"
System Services,1.2.5 Disable the rhnsd Daemon,"The 'rhnsd' daemon polls the Red Hat Network web site for scheduled actions and, if there are, executes those actions.",Patch management policies may require that organizations test the impact of a patch before it is deployed in a production environment. Having patches automatically deployed could have a negative impact on the environment. It is best to not allow an action by default but only after appropriate consideration has been made. It is recommended that the service be disabled unless the risk is understood and accepted or you are running your own satellite . This item is not scored because organizations may have addressed the risk.,,"Run the following command to disable 'rhnsd' :

# chkconfig rhnsd off"
Filesystem Permissions,1.3.1 Ensure AIDE is installed,"AIDE takes a snapshot of filesystem state including modification times, permissions, and file hashes which can then be used to compare against the current state of the filesystem to detect modifications to the system.",By monitoring the filesystem state compromised files can be detected to prevent or limit the exposure of accidental or malicious misconfigurations or modified binaries.,,"Run the following command to install 'aide' :

# yum install aide

Configure AIDE as appropriate for your environment. Consult the AIDE documentation for options.

Initialize AIDE:

# aide --init
# mv /var/lib/aide/aide.db.new.gz /var/lib/aide/aide.db.gz"
Filesystem Permissions,1.3.2 Ensure filesystem integrity is regularly checked,Periodic checking of the filesystem integrity is needed to detect changes to the filesystem.,Periodic file checking allows the system administrator to determine on a regular basis if critical files have been changed in an unauthorized fashion.,,"Run the following command:

# crontab -u root -e

Add the following line to the crontab:

0 5 * * * /usr/sbin/aide --check"
System Services,1.4.1 Ensure permissions on bootloader config are configured - user.cfg,The grub configuration file contains information on boot settings and passwords for unlocking boot options. The grub configuration is usually located at '/boot/grub2/grub.cfg' and linked as '/etc/grub2.cfg'. Additional settings can be found in the '/boot/grub2/user.cfg' file.,Setting the permissions to read and write for root only prevents non-root users from seeing the boot parameters or changing them. Non-root users who read the boot parameters may be able to identify weaknesses in security upon boot and be able to exploit them.,,"Run the following commands to set permissions on your grub configuration:

# chown root:root /boot/grub2/grub.cfg
# chmod og-rwx /boot/grub2/grub.cfg
# chown root:root /boot/grub2/user.cfg
# chmod og-rwx /boot/grub2/user.cfg"
System Services,1.4.2 Ensure bootloader password is set,Setting the boot loader password will require that anyone rebooting the system must enter a password before being able to set command line boot parameters,Requiring a boot password upon execution of the boot loader will prevent an unauthorized user from entering boot parameters or changing the boot partition. This prevents users from weakening security (e.g. turning off SELinux at boot time).,,"Create an encrypted password with 'grub2-setpassword' :

# grub2-setpassword
Enter password:

Confirm password:"
System Services,1.4.3 Ensure authentication required for single user mode - emergency.service,Single user mode (rescue mode) is used for recovery when the system detects an issue during boot or by manual selection from the bootloader.,Requiring authentication in single user mode (rescue mode) prevents an unauthorized user from rebooting the system into single user to gain root privileges without credentials.,,"Edit '/usr/lib/systemd/system/rescue.service' and '/usr/lib/systemd/system/emergency.service' and set ExecStart to use '/sbin/sulogin' or '/usr/sbin/sulogin':

ExecStart=-/bin/sh -c '/sbin/sulogin; /usr/bin/systemctl --fail --no-block default'"
System Services,1.5.1 Ensure core dumps are restricted - limits.conf limits.d,"A core dump is the memory of an executable program. It is generally used to determine why a program aborted. It can also be used to glean confidential information from a core file. The system provides the ability to set a soft limit for core dumps, but this can be overridden by the user.","Setting a hard limit on core dumps prevents users from overriding the soft variable. If core dumps are required, consider setting limits for user groups (see 'limits.conf(5)' ). In addition, setting the 'fs.suid_dumpable' variable to 0 will prevent setuid programs from dumping core.",,"Add the following line to '/etc/security/limits.conf' or a '/etc/security/limits.d/*' file:

* hard core 0

Set the following parameter in '/etc/sysctl.conf' or a '/etc/sysctl.d/*' file:

fs.suid_dumpable = 0

Run the following command to set the active kernel parameter:

# sysctl -w fs.suid_dumpable=0"
System Services,1.5.2 Ensure XD/NX support is enabled,"Recent processors in the x86 family support the ability to prevent code execution on a per memory page basis. Generically and on AMD processors, this ability is called No Execute (NX), while on Intel processors it is called Execute Disable (XD). This ability can help prevent exploitation of buffer overflow vulnerabilities and should be activated whenever possible. Extra steps must be taken to ensure that this protection is enabled, particularly on 32-bit x86 systems. Other processors, such as Itanium and POWER, have included such support since inception and the standard kernel for those platforms supports the feature.",Enabling any feature that can protect against buffer overflow attacks enhances the security of the system.,,"On 32 bit systems install a kernel with PAE support, no installation is required on 64 bit systems:

If necessary configure your bootloader to load the new kernel and reboot the system.

You may need to enable NX or XD support in your bios."
System Services,1.5.3 Ensure address space layout randomization (ASLR) is enabled - sysctl.conf sysctl.d,Address space layout randomization (ASLR) is an exploit mitigation technique which randomly arranges the address space of key data areas of a process.,Randomly placing virtual memory regions will make it difficult to write memory page exploits as the memory placement will be consistently shifting.,,"Set the following parameter in '/etc/sysctl.conf' or a '/etc/sysctl.d/*' file:

kernel.randomize_va_space = 2

Run the following command to set the active kernel parameter:

# sysctl -w kernel.randomize_va_space=2"
System Services,1.5.4 Ensure prelink is disabled,'prelink 'is a program that modifies ELF shared libraries and ELF dynamically linked binaries in such a way that the time needed for the dynamic linker to perform relocations at startup significantly decreases.,"The prelinking feature can interfere with the operation of AIDE, because it changes binaries. Prelinking can also increase the vulnerability of the system if a malicious user is able to compromise a common library such as libc.",,"Run the following commands to restore binaries to normal and uninstall 'prelink' :

# prelink -ua
# yum remove prelink"
Access Controls,1.6.1.1 Ensure SELinux is not disabled in bootloader configuration - enforcing = 0,Configure SELINUX to be enabled at boot time and verify that it has not been overwritten by the grub boot parameters.,SELinux must be enabled at boot time in your grub configuration to ensure that the controls it provides are not overridden.,,"Edit '/etc/default/grub' and remove all instances of 'selinux=0' and 'enforcing=0' from all 'CMDLINE_LINUX' parameters:

GRUB_CMDLINE_LINUX_DEFAULT='quiet'
GRUB_CMDLINE_LINUX=''

Run the following command to update the 'grub2' configuration:

# grub2-mkconfig -o /boot/grub2/grub.cfg"
Access Controls,1.6.1.2 Ensure the SELinux state is enforcing,Set SELinux to enable when the system is booted.,SELinux must be enabled at boot time in to ensure that the controls it provides are in effect at all times.,,"Edit the '/etc/selinux/config' file to set the SELINUX parameter:

SELINUX=enforcing"
Access Controls,1.6.1.3 Ensure SELinux policy is configured,"Configure SELinux to meet or exceed the default targeted policy, which constrains daemons and system software only.","Security configuration requirements vary from site to site. Some sites may mandate a policy that is stricter than the default policy, which is perfectly acceptable. This item is intended to ensure that at least the default recommendations are met.",,"Edit the '/etc/selinux/config' file to set the SELINUXTYPE parameter:

SELINUXTYPE=targeted"
Access Controls,1.6.1.4 Ensure SETroubleshoot is not installed,"The SETroubleshoot service notifies desktop users of SELinux denials through a user-friendly interface. The service provides important information around configuration errors, unauthorized intrusions, and other potential errors.","The SETroubleshoot service is an unnecessary daemon to have running on a server, especially if X Windows is disabled.",,"Run the following command to uninstall s 'etroubleshoot' :

# yum remove setroubleshoot"
Access Controls,1.6.1.5 Ensure the MCS Translation Service (mcstrans) is not installed,The 'mcstransd' daemon provides category label information to client processes requesting information. The label translations are defined in '/etc/selinux/targeted/setrans.conf',"Since this service is not used very often, remove it to reduce the amount of potentially vulnerable code running on the system.",,"Run the following command to uninstall mcstrans:

# yum remove mcstrans"
Access Controls,1.6.1.6 Ensure no unconfined daemons exist,Daemons that are not defined in SELinux policy will inherit the security context of their parent process.,"Since daemons are launched and descend from the 'init' process, they will inherit the security context label 'initrc_t' . This could cause the unintended consequence of giving the process more permission than it requires.",,Investigate any unconfined daemons found during the audit action. They may need to have an existing security context assigned to them or a policy built for them.
Access Controls,1.6.2 Ensure SELinux is installed,SELinux provides Mandatory Access Controls.,Without a Mandatory Access Control system installed only the default Discretionary Access Control system will be available.,,"Run the following command to install 'libselinux' :

# yum install libselinux"
System Services,1.7.1.1 Ensure message of the day is configured properly - banner text,"The contents of the '/etc/motd' file are displayed to users after login and function as a message of the day for authenticated users.

Unix-based systems have typically displayed information about the OS release and patch level upon logging in to the system. This information can be useful to developers who are developing software for a particular OS platform. If 'mingetty(8)' supports the following options, they display operating system information: 'm' - machine architecture 'r' - operating system release 's' - operating system name 'v' - operating system version",Warning messages inform users who are attempting to login to the system of their legal status regarding the system and must include the name of the organization that owns the system and any monitoring policies that are in place. Displaying OS and patch level information in login banners also has the side effect of providing detailed system information to attackers attempting to target specific exploits of a system. Authorized users can easily get this information by running the ' 'uname -a' ' command once they have logged in.,,"Edit the '/etc/motd' file with the appropriate contents according to your site policy, remove any instances of 'm' , 'r' , 's' , or 'v.'"
System Services,1.7.1.2 Ensure local login warning banner is configured properly - banner text,"The contents of the '/etc/issue' file are displayed to users prior to login for local terminals.

Unix-based systems have typically displayed information about the OS release and patch level upon logging in to the system. This information can be useful to developers who are developing software for a particular OS platform. If 'mingetty(8)' supports the following options, they display operating system information: 'm' - machine architecture 'r' - operating system release 's' - operating system name 'v' - operating system version",Warning messages inform users who are attempting to login to the system of their legal status regarding the system and must include the name of the organization that owns the system and any monitoring policies that are in place. Displaying OS and patch level information in login banners also has the side effect of providing detailed system information to attackers attempting to target specific exploits of a system. Authorized users can easily get this information by running the ' 'uname -a' ' command once they have logged in.,,"Edit the '/etc/issue' file with the appropriate contents according to your site policy, remove any instances of 'm' , 'r' , 's' , or 'v' :

# echo 'Authorized uses only. All activity may be monitored and reported.' > /etc/issue"
System Services,1.7.1.3 Ensure remote login warning banner is configured properly - banner text,"The contents of the '/etc/issue.net' file are displayed to users prior to login for remote connections from configured services.

Unix-based systems have typically displayed information about the OS release and patch level upon logging in to the system. This information can be useful to developers who are developing software for a particular OS platform. If 'mingetty(8)' supports the following options, they display operating system information: 'm' - machine architecture 'r' - operating system release 's' - operating system name 'v' - operating system version",Warning messages inform users who are attempting to login to the system of their legal status regarding the system and must include the name of the organization that owns the system and any monitoring policies that are in place. Displaying OS and patch level information in login banners also has the side effect of providing detailed system information to attackers attempting to target specific exploits of a system. Authorized users can easily get this information by running the ' 'uname -a' ' command once they have logged in.,,"Edit the '/etc/issue.net' file with the appropriate contents according to your site policy, remove any instances of 'm' , 'r' , 's' , or 'v' :

# echo 'Authorized uses only. All activity may be monitored and reported.' > /etc/issue.net"
System Services,1.7.1.4 Ensure permissions on /etc/motd are configured,The contents of the '/etc/motd' file are displayed to users after login and function as a message of the day for authenticated users.,If the '/etc/motd' file does not have the correct ownership it could be modified by unauthorized users with incorrect or misleading information.,,"Run the following commands to set permissions on '/etc/motd' :

# chown root:root /etc/motd
# chmod 644 /etc/motd"
System Services,1.7.1.5 Ensure permissions on /etc/issue are configured,The contents of the '/etc/issue' file are displayed to users prior to login for local terminals.,If the '/etc/issue' file does not have the correct ownership it could be modified by unauthorized users with incorrect or misleading information.,,"Run the following commands to set permissions on '/etc/issue' :

# chown root:root /etc/issue
# chmod 644 /etc/issue"
System Services,1.7.1.6 Ensure permissions on /etc/issue.net are configured,The contents of the '/etc/issue.net' file are displayed to users prior to login for remote connections from configured services.,If the '/etc/issue.net' file does not have the correct ownership it could be modified by unauthorized users with incorrect or misleading information.,,"Run the following commands to set permissions on '/etc/issue.net' :

# chown root:root /etc/issue.net
# chmod 644 /etc/issue.net"
System Services,1.7.2 Ensure GDM login banner is configured - banner message text,GDM is the GNOME Display Manager which handles graphical login for GNOME based systems.,"Warning messages inform users who are attempting to login to the system of their legal status regarding the system and must include the name of the organization that owns the system and any monitoring policies that are in place.

NOTE: gdm is not installed on the target.",,
System Services,"1.8 Ensure updates, patches, and additional security software are installed",Periodically patches are released for included software either due to security flaws or to include additional functionality.,"Newer patches may contain security enhancements that would not be available through the latest full update. As a result, it is recommended that the latest software patches be used to take advantage of the latest functionality. As with any software installation, organizations need to determine if a given update meets their requirements and verify the compatibility and supportability of any additional software against the update revision that is selected.

NOTE: Nessus has provided the target output to assist in reviewing the benchmark to ensure target compliance.",,
System Services,2.1.1 Ensure chargen services are not enabled - stream,'chargen 'is a network service that responds with 0 to 512 ASCII characters for each connection it receives. This service is intended for debugging and testing purposes. It is recommended that this service be disabled.,Disabling this service will reduce the remote attack surface of the system.,,"Run the following commands to disable 'chargen-dgram' and 'chargen-stream' :

# chkconfig chargen-dgram off
# chkconfig chargen-stream off"
System Services,2.1.2 Ensure daytime services are not enabled - dgram,'daytime' is a network service that responds with the server's current date and time. This service is intended for debugging and testing purposes. It is recommended that this service be disabled.,Disabling this service will reduce the remote attack surface of the system.,,"Run the following commands to disable 'daytime' -dgram and 'daytime' -stream:

# chkconfig daytime-dgram off
# chkconfig daytime-stream off"
System Services,2.1.3 Ensure discard services are not enabled - dgram,'discard 'is a network service that simply discards all data it receives. This service is intended for debugging and testing purposes. It is recommended that this service be disabled.,Disabling this service will reduce the remote attack surface of the system.,,"Run the following commands to disable 'discard' -dgram and 'discard' -stream:

# chkconfig discard-dgram off
# chkconfig discard-stream off"
System Services,2.1.4 Ensure echo services are not enabled - dgram,'echo 'is a network service that responds to clients with the data sent to it by the client. This service is intended for debugging and testing purposes. It is recommended that this service be disabled.,Disabling this service will reduce the remote attack surface of the system.,,"Run the following commands to disable 'echo' -dgram and 'echo' -stream:

# chkconfig echo-dgram off
# chkconfig echo-stream off"
System Services,2.1.5 Ensure time services are not enabled - dgram,'time 'is a network service that responds with the server's current date and time as a 32 bit integer. This service is intended for debugging and testing purposes. It is recommended that this service be disabled.,Disabling this service will reduce the remote attack surface of the system.,,"Run the following commands to disable 'time' -dgram and 'time' -stream:

# chkconfig time-dgram off
# chkconfig time-stream off"
System Services,2.1.6 Ensure tftp server is not enabled,"Trivial File Transfer Protocol (TFTP) is a simple file transfer protocol, typically used to automatically transfer configuration or boot machines from a boot server. The package 'tftp-server' is used to define and support a TFTP server.","TFTP does not support authentication nor does it ensure the confidentiality or integrity of data. It is recommended that TFTP be removed, unless there is a specific need for TFTP. In that case, extreme caution must be used when configuring the services.",,"Run the following command to disable tftp:

# chkconfig tftp off"
System Services,2.1.7 Ensure xinetd is not enabled,The eXtended InterNET Daemon ( 'xinetd' ) is an open source super daemon that replaced the original 'inetd' daemon. The 'xinetd' daemon listens for well known services and dispatches the appropriate daemon to properly respond to service requests.,"If there are no 'xinetd' services required, it is recommended that the daemon be disabled.",,"Run the following command to disable 'xinetd' :

# systemctl disable xinetd"
System Services,2.2.1.1 Ensure time synchronization is in use,System time should be synchronized between all systems in an environment. This is typically done by establishing an authoritative time server or set of servers and having all systems synchronize their clocks to them.,"Time synchronization is important to support time sensitive security mechanisms like Kerberos and also ensures log files have consistent time records across the enterprise, which aids in forensic investigations.",,"On physical systems or virtual systems where host based time synchronization is not available run one of the following commands to install either 'ntp' or 'chrony' :

# yum install ntp
# yum install chrony

On virtual systems where host based time synchronization is available consult your virtualization software documentation and setup host based synchronization."
System Services,2.2.1.2 Ensure ntp is configured - restrict -4,"'ntp' is a daemon which implements the Network Time Protocol (NTP). It is designed to synchronize system clocks across a variety of systems and use a source that is highly accurate. More information on NTP can be found at [http://www.ntp.org](http://www.ntp.org/). 'ntp' can be configured to be a client and/or a server.

This recommendation only applies if ntp is in use on the system.",If ntp is in use on the system proper configuration is vital to ensuring time synchronization is working properly.,,"Add or edit restrict lines in '/etc/ntp.conf' to match the following:

restrict -4 default kod nomodify notrap nopeer noquery
restrict -6 default kod nomodify notrap nopeer noquery

Add or edit server or pool lines to '/etc/ntp.conf' as appropriate:

server

Add or edit the 'OPTIONS' in '/etc/sysconfig/ntpd' to include ' '-u ntp:ntp' ':

OPTIONS='-u ntp:ntp'"
System Services,2.2.1.3 Ensure chrony is configured - NTP server,'chrony' is a daemon which implements the Network Time Protocol (NTP) is designed to synchronize system clocks across a variety of systems and use a source that is highly accurate. More information on 'chrony' can be found at . 'chrony' can be configured to be a client and/or a server.,"If chrony is in use on the system proper configuration is vital to ensuring time synchronization is working properly.

This recommendation only applies if chrony is in use on the system.",,"Add or edit server or pool lines to '/etc/chrony.conf' as appropriate:

server

Add or edit the 'OPTIONS' in '/etc/sysconfig/chronyd' to include ''-u chrony'':

OPTIONS='-u chrony'"
